input_len,out_len,batch_size,elapsed_time,num_requests,total_num_tokens,requests_per_second,tokens_per_second
91680,12800,4,0.601812483,4,563200,6.646588619,935839.6775
128000,12800,4,1.065734134,8,1126400,7.506562608,1056924.015
128000,12800,8,1.115566799,8,1126400,7.171242464,1009710.939
128000,12800,16,2.211469332,16,2252800,7.235008765,1018689.234
128000,12800,32,4.277097503,32,4505600,7.481709261,1053424.664
128000,12800,64,8.689760353,64,9011200,7.364990218,1036990.623
128,2048,4,71.27394036,4,8704,0.056121494,122.1203704
128,2048,8,75.0559648920007,8,17408,0.10658713150262387,231.93359814970955
128,2048,16,75.82455635,16,34816,0.211013434,459.1652319
128,2048,32,78.37005056,32,69632,0.408319247,888.5026806
128,2048,64,123.1509682,64,139264,0.519687347,1130.839668
2048,2048,4,73.01276787,4,16384,0.054784939,224.3991082
2048,2048,8,78.75401423,8,32768,0.101582124,416.0803779
2048,2048,16,83.85836116,16,65536,0.190797909,781.5082372
2048,2048,32,143.8565959,32,131072,0.222443745,911.1295814
2048,2048,64,262.4642917,64,262144,0.243842694,998.7796751
2048,2048,128,474.2597424,128,524288,0.269894297,1105.487042
2048,2048,256,876.4826333,256,1048576,0.292076523,1196.3454389168091680
91680,2048,1,0.12339069699919492,1,93728,8.104338692620601,759603.4569819437
32784,2048,4,236.12373048600057,4,139328,0.016940271067914344,590.0635218375925
32784,2048,8,457.69658227500076,8,278656,0.01747882835444314,608.8225492419634
32784,2048,16,866.9613514360008,16,557312,0.01845526328653316,642.8337307965231
90000,1680,1,0.10551858600047126,1,93728,9.477003416208913,888260.576194429
